method,split,kind,level,realization,macro_f1,balanced_accuracy
mlp,27,noise,0.2,11,0.726046176046176,0.7385822510822511
mlp,27,noise,0.2,12,0.719027325669775,0.7266774891774892
mlp,27,noise,0.2,13,0.7235880398671096,0.7374458874458875
mlp,27,noise,0.2,14,0.7709440753045405,0.7748917748917749
mlp,27,noise,0.2,15,0.7366114561766736,0.7516233766233766
mlp,27,noise,0.2,16,0.7031746031746031,0.7147186147186148
mlp,27,noise,0.2,17,0.7273233858340242,0.7397186147186148
mlp,27,noise,0.2,18,0.6877074314574314,0.7028138528138528
mlp,27,noise,0.2,19,0.6898696264975335,0.704004329004329
mlp,27,missing,0.05,0,0.6880814410021214,0.7045454545454546
mlp,27,missing,0.05,1,0.7212661227281609,0.7391774891774892
mlp,27,missing,0.05,2,0.7802376788302767,0.7862012987012987
mlp,27,missing,0.05,3,0.6979132614144056,0.7039502164502165
mlp,27,missing,0.05,4,0.6447246362659896,0.6704545454545454
mlp,27,missing,0.05,5,0.6870099334009145,0.6920454545454546
mlp,27,missing,0.05,6,0.7173266810978504,0.7266774891774892
mlp,27,missing,0.05,7,0.7141685160138143,0.7272186147186148
mlp,27,missing,0.05,8,0.7160150544882598,0.7272186147186148
mlp,27,missing,0.05,9,0.7280330736945941,0.7391233766233767
mlp,27,missing,0.05,10,0.7030612244897959,0.7159090909090909
mlp,27,missing,0.05,11,0.7224450591970325,0.7283549783549784
mlp,27,missing,0.05,12,0.6613578237619159,0.6795995670995671
mlp,27,missing,0.05,13,0.6823639483832458,0.6926406926406927
mlp,27,missing,0.05,14,0.7283234899218293,0.7408008658008658
mlp,27,missing,0.05,15,0.7537926404205473,0.7623917748917748
mlp,27,missing,0.05,16,0.7019908386187457,0.7147727272727273
mlp,27,missing,0.05,17,0.7288727038727039,0.7380411255411257
mlp,27,missing,0.05,18,0.7434137156078511,0.7504870129870129
mlp,27,missing,0.05,19,0.6786683277962348,0.691504329004329
mlp,27,missing,0.1,0,0.7405762084225178,0.751082251082251
mlp,27,missing,0.1,1,0.7172132034632035,0.7397186147186148
mlp,27,missing,0.1,2,0.7065419781845974,0.7175324675324675
mlp,27,missing,0.1,3,0.6706326619117317,0.6801406926406927
mlp,27,missing,0.1,4,0.73120896851007,0.7391233766233767
mlp,27,missing,0.1,5,0.6761414211022274,0.6823593073593073
mlp,27,missing,0.1,6,0.699673947203017,0.7038961038961039
mlp,27,missing,0.1,7,0.7236981920291128,0.7277597402597402
mlp,27,missing,0.1,8,0.6783325414422976,0.6926406926406926
mlp,27,missing,0.1,9,0.7248897834004217,0.7277056277056277
mlp,27,missing,0.1,10,0.743690570535869,0.7516233766233766
mlp,27,missing,0.1,11,0.6480135658914729,0.6676948051948052
mlp,27,missing,0.1,12,0.736525974025974,0.7402056277056277
mlp,27,missing,0.1,13,0.6739024864024864,0.6806818181818182
mlp,27,missing,0.1,14,0.7023809523809524,0.7164502164502164
mlp,27,missing,0.1,15,0.6723736218015394,0.6823051948051948
mlp,27,missing,0.1,16,0.6313114085670477,0.6329545454545454
mlp,27,missing,0.1,17,0.7020986800961126,0.7050324675324675
mlp,27,missing,0.1,18,0.6908458448609166,0.7045454545454546
mlp,27,missing,0.1,19,0.6855519480519481,0.6920454545454545
rbf,27,noise,0.05,0,0.7530841286673736,0.7618506493506494
rbf,27,noise,0.05,1,0.737861169837914,0.7505411255411255
rbf,27,noise,0.05,2,0.7422178275836813,0.7499458874458875
rbf,27,noise,0.05,3,0.7422178275836813,0.7499458874458875
rbf,27,noise,0.05,4,0.751984126984127,0.7624458874458875
rbf,27,noise,0.05,5,0.7066674446648773,0.7142316017316017
rbf,27,noise,0.05,6,0.7257575222072995,0.7380411255411257
rbf,27,noise,0.05,7,0.7647750799924713,0.7743506493506493
rbf,27,noise,0.05,8,0.7541942308644323,0.7618506493506494
rbf,27,noise,0.05,9,0.7400166258861911,0.7505411255411255
rbf,27,noise,0.05,10,0.7293170809872824,0.7380411255411257
rbf,27,noise,0.05,11,0.7378881987577639,0.7505411255411255
rbf,27,noise,0.05,12,0.752654033493265,0.7624458874458875
